c ./../WCSP/WQUEENS/wqueens8_6.wcsp
p cnf 35 181
9 1 2 3 4 5 6 7 8 0
9 9 10 11 12 13 14 15 16 0
9 17 18 19 20 21 22 23 24 0
9 25 26 27 28 29 30 31 32 0
9 33 34 35 0
9 -1 -9 0
9 -1 -10 0
9 -2 -9 0
9 -2 -10 0
9 -2 -11 0
9 -3 -10 0
9 -3 -11 0
9 -3 -12 0
9 -4 -11 0
9 -4 -12 0
9 -4 -13 0
9 -5 -12 0
9 -5 -13 0
9 -5 -14 0
9 -6 -13 0
9 -6 -14 0
9 -6 -15 0
9 -7 -14 0
9 -7 -15 0
9 -7 -16 0
9 -8 -15 0
9 -8 -16 0
9 -1 -17 0
9 -1 -19 0
9 -2 -18 0
9 -2 -20 0
9 -3 -17 0
9 -3 -19 0
9 -3 -21 0
9 -4 -18 0
9 -4 -20 0
9 -4 -22 0
9 -5 -19 0
9 -5 -21 0
9 -5 -23 0
9 -6 -20 0
9 -6 -22 0
9 -6 -24 0
9 -7 -21 0
9 -7 -23 0
9 -8 -22 0
9 -8 -24 0
9 -1 -25 0
9 -1 -28 0
9 -2 -26 0
9 -2 -29 0
9 -3 -27 0
9 -3 -30 0
9 -4 -25 0
9 -4 -28 0
9 -4 -31 0
9 -5 -26 0
9 -5 -29 0
9 -5 -32 0
9 -6 -27 0
9 -6 -30 0
9 -7 -28 0
9 -7 -31 0
9 -8 -29 0
9 -8 -32 0
9 -1 -33 0
9 -2 -34 0
9 -5 -33 0
9 -6 -34 0
9 -7 -35 0
9 -9 -17 0
9 -9 -18 0
9 -10 -17 0
9 -10 -18 0
9 -10 -19 0
9 -11 -18 0
9 -11 -19 0
9 -11 -20 0
9 -12 -19 0
9 -12 -20 0
9 -12 -21 0
9 -13 -20 0
9 -13 -21 0
9 -13 -22 0
9 -14 -21 0
9 -14 -22 0
9 -14 -23 0
9 -15 -22 0
9 -15 -23 0
9 -15 -24 0
9 -16 -23 0
9 -16 -24 0
9 -9 -25 0
9 -9 -27 0
9 -10 -26 0
9 -10 -28 0
9 -11 -25 0
9 -11 -27 0
9 -11 -29 0
9 -12 -26 0
9 -12 -28 0
9 -12 -30 0
9 -13 -27 0
9 -13 -29 0
9 -13 -31 0
9 -14 -28 0
9 -14 -30 0
9 -14 -32 0
9 -15 -29 0
9 -15 -31 0
9 -16 -30 0
9 -16 -32 0
9 -9 -33 0
9 -10 -34 0
9 -12 -33 0
9 -13 -34 0
9 -14 -35 0
9 -17 -25 0
9 -17 -26 0
9 -18 -25 0
9 -18 -26 0
9 -18 -27 0
9 -19 -26 0
9 -19 -27 0
9 -19 -28 0
9 -20 -27 0
9 -20 -28 0
9 -20 -29 0
9 -21 -28 0
9 -21 -29 0
9 -21 -30 0
9 -22 -29 0
9 -22 -30 0
9 -22 -31 0
9 -23 -30 0
9 -23 -31 0
9 -23 -32 0
9 -24 -31 0
9 -24 -32 0
9 -17 -33 0
9 -17 -35 0
9 -18 -34 0
9 -19 -33 0
9 -19 -35 0
9 -20 -34 0
9 -21 -35 0
9 -25 -33 0
9 -25 -34 0
9 -26 -33 0
9 -26 -34 0
9 -26 -35 0
9 -27 -34 0
9 -27 -35 0
9 -28 -35 0
1 -1 0
1 -2 0
1 -3 0
1 -4 0
1 -5 0
1 -6 0
1 -9 0
1 -10 0
1 -11 0
1 -12 0
1 -14 0
1 -15 0
1 -17 0
1 -18 0
1 -20 0
1 -22 0
1 -23 0
1 -24 0
1 -26 0
1 -27 0
1 -28 0
1 -29 0
1 -31 0
1 -32 0
1 -33 0
1 -34 0
1 -35 0
